Item,s,lambda,K,L,h,p
1.0 ,5.4 ,30.0 ,120.0 ,3.0 ,6.0 ,70.0 
2.0 ,3.4 ,40.0 ,100.0 ,2.0 ,6.0 ,63.0 
3.0 ,5.5 ,40.0 ,110.0 ,3.0 ,9.0 ,87.0 
4.0 ,5.2 ,50.0 ,120.0 ,2.0 ,8.0 ,75.0 
5.0 ,4.3 ,50.0 ,110.0 ,2.0 ,6.0 ,67.0 
6.0 ,5.7 ,40.0 ,130.0 ,2.0 ,9.0 ,92.0 
7.0 ,5.4 ,30.0 ,130.0 ,3.0 ,6.0 ,73.0 
8.0 ,10.1 ,70.0 ,130.0 ,3.0 ,9.0 ,89.0 
9.0 ,2.4 ,30.0 ,120.0 ,3.0 ,5.0 ,55.0 
10.0 ,5.2 ,40.0 ,120.0 ,2.0 ,8.0 ,80.0 
11.0 ,5.8 ,50.0 ,120.0 ,2.0 ,7.0 ,74.0 
12.0 ,4.2 ,50.0 ,120.0 ,2.0 ,8.0 ,92.0 
13.0 ,6.6 ,40.0 ,100.0 ,3.0 ,9.0 ,83.0 
14.0 ,0.7 ,50.0 ,110.0 ,3.0 ,6.0 ,60.0 
15.0 ,8.3 ,60.0 ,110.0 ,2.0 ,8.0 ,92.0 
16.0 ,3.5 ,40.0 ,100.0 ,3.0 ,7.0 ,73.0 
17.0 ,4.8 ,60.0 ,100.0 ,3.0 ,8.0 ,77.0 
18.0 ,4.3 ,50.0 ,100.0 ,2.0 ,7.0 ,65.0 
19.0 ,2.6 ,50.0 ,110.0 ,2.0 ,5.0 ,49.0 
20.0 ,5.3 ,40.0 ,120.0 ,2.0 ,8.0 ,80.0 
21.0 ,3.7 ,60.0 ,110.0 ,3.0 ,5.0 ,47.0 
22.0 ,4.3 ,60.0 ,130.0 ,2.0 ,8.0 ,77.0 
23.0 ,6.6 ,60.0 ,130.0 ,2.0 ,9.0 ,82.0 
24.0 ,3.7 ,30.0 ,120.0 ,3.0 ,5.0 ,46.0 
25.0 ,2.3 ,50.0 ,130.0 ,3.0 ,6.0 ,60.0 
26.0 ,2.9 ,60.0 ,100.0 ,2.0 ,8.0 ,80.0 
27.0 ,4.5 ,70.0 ,110.0 ,3.0 ,6.0 ,56.0 
28.0 ,5.3 ,60.0 ,140.0 ,2.0 ,7.0 ,69.0 
29.0 ,3.7 ,50.0 ,130.0 ,2.0 ,5.0 ,55.0 
30.0 ,2.4 ,50.0 ,100.0 ,2.0 ,7.0 ,69.0 
